category,art,brand,name,colorWay,color,fibers,inStock,nm,Price/item,price,nm1,nm2,nm3,meterage
viscose,506095,Be.Mi.Va,teddy,beige,camel,80%VI 20%PA,955,1/4500,€ 28.65,€ 3.00,1,1,4500,450
viscose,506097*,Be.Mi.Va,teddy,purple,lilac,80%VI 20%PA,490,1/4500,€ 14.70,€ 3.00,1,1,4500,450
wool,800802,Di.Ve,terribile,multicolor,rainbow,21%WO 51%PC 28%PA,155,1/10500,€ 3.88,€ 2.50,1,1,10500,1050
wool,800803,Di.Ve,terribile,multicolor,rainbow,21%WO 51%PC 28%PA,270,1/10500,€ 6.75,€ 2.50,1,1,10500,1050
merino,702039,Sesia,twin,blue,indigo,100%WV,1100,3x2/14000,€ 41.25,€ 3.75,3,2,14000,233
merino,707662,Sesia,twin,white,white,100%WV,725,2/14000,€ 27.19,€ 3.75,1,2,14000,700
"cashmere mix,lambswool",202899,Biagioli modesto,upsala,white,ice white,50%WS 50%lamb,860,2/28000,€ 64.50,€ 7.50,1,2,28000,1400
fantasy,901026,unknown,viscose - lurex - pail,black,black - silver,VI PL,300,1/1/6000,€ 18.00,€ 6.00,1,1,6000,600
cashmere,100171,GTI,welcome G,gray,antracite,100%WS,420,1/4700,€ 63.00,€ 15.00,1,1,4700,470
merino,700724,Pollone,zenith,gray,groen,100%WV,905,2/45000,€ 33.94,€ 3.75,1,2,45000,2250
